"Mensagem do Usuário","Intenção"
"Quero comprar este imóvel.","Querer Comprar/Adquirir"
"Qual o preço da casa?","Perguntar sobre Preço/Custo"
"Tem apartamentos disponíveis?","Perguntar sobre Disponibilidade/Estoque"
"Quais as formas de financiamento?","Solicitar Informações Adicionais Relevantes para a Compra (Imóveis)"
"Olá, boa tarde!","Saudação/Agradecimento"
"Não entendi a sua resposta.","Não Entendimento/Reafirmação"
"O produto X ainda tem em estoque?","Perguntar sobre Disponibilidade/Estoque"
"Qual o prazo de entrega?","Solicitar Informações Adicionais Relevantes para a Compra (Produtos)"
"Vocês poderiam me ajudar?","Pergunta Geral/Dúvida"
"Obrigado pela informação!","Saudação/Agradecimento"
"Quanto custa o modelo Y?","Perguntar sobre Preço/Custo"
"Estou interessado em adquirir.","Querer Comprar/Adquirir"
"Gostaria de saber se vocês têm esse imóvel disponível.","Perguntar sobre Disponibilidade/Estoque"
"Boa noite! Tudo bem?","Saudação/Agradecimento"
"Esse produto ainda está disponível?","Perguntar sobre Disponibilidade/Estoque"
"Qual é o valor desse apartamento?","Perguntar sobre Preço/Custo"
"Tem como parcelar a compra?","Solicitar Informações Adicionais Relevantes para a Compra (Produtos)"
"Estou pensando em comprar esse produto.","Querer Comprar/Adquirir"
"Vocês aceitam financiamento bancário?","Solicitar Informações Adicionais Relevantes para a Compra (Imóveis)"
"Boa tarde!","Saudação/Agradecimento"
"Não ficou claro o valor total.","Não Entendimento/Reafirmação"
"Preciso de ajuda com as opções de pagamento.","Pergunta Geral/Dúvida"
"Quero saber mais sobre essa casa.","Querer Comprar/Adquirir"
"Vocês entregam em outros estados?","Solicitar Informações Adicionais Relevantes para a Compra (Produtos)"
"Oi, tudo bem?","Saudação/Agradecimento"
"Pode me explicar melhor como funciona o financiamento?","Solicitar Informações Adicionais Relevantes para a Compra (Imóveis)"
"Quanto sai esse produto à vista?","Perguntar sobre Preço/Custo"
"Você pode repetir a informação?","Não Entendimento/Reafirmação"
"Tem alguma promoção nesse modelo?","Perguntar sobre Preço/Custo"
"Estou pensando em fechar a compra.","Querer Comprar/Adquirir"
"Gostaria de mais informações sobre o imóvel.","Solicitar Informações Adicionais Relevantes para a Compra (Imóveis)"
"Vocês têm essa mercadoria em estoque?","Perguntar sobre Disponibilidade/Estoque"
"Vocês vendem esse imóvel?","Querer Comprar/Adquirir"
"Tem como eu comprar essa casa?","Querer Comprar/Adquirir"
"Esse apartamento ainda tá à venda?","Perguntar sobre Disponibilidade/Estoque"
"Consegue me dizer o preço desse item?","Perguntar sobre Preço/Custo"
"Esse produto tá disponível pra compra?","Perguntar sobre Disponibilidade/Estoque"
"Qual o valor total com frete?","Perguntar sobre Preço/Custo"
"Como posso financiar essa casa?","Solicitar Informações Adicionais Relevantes para a Compra (Imóveis)"
"Queria entender melhor as condições de pagamento.","Solicitar Informações Adicionais Relevantes para a Compra (Produtos)"
"Olá, tudo certo?","Saudação/Agradecimento"
"Oi! Vocês podem me orientar?","Pergunta Geral/Dúvida"
"Poderia repetir, por favor?","Não Entendimento/Reafirmação"
"Desculpa, não entendi direito.","Não Entendimento/Reafirmação"
"Boa tarde, agradeço pela ajuda!","Saudação/Agradecimento"
"Tenho interesse nesse modelo.","Querer Comprar/Adquirir"
"Estou avaliando a compra desse imóvel.","Querer Comprar/Adquirir"
"Quanto custa esse produto à vista?","Perguntar sobre Preço/Custo"
"Queria saber se ainda tem unidades.","Perguntar sobre Disponibilidade/Estoque"
"Aceitam entrada + parcelas?","Solicitar Informações Adicionais Relevantes para a Compra (Imóveis)"
"Vocês enviam pra outros estados?","Solicitar Informações Adicionais Relevantes para a Compra (Produtos)"
"Tem esse item no estoque?","Perguntar sobre Disponibilidade/Estoque"
"Oi, boa noite!","Saudação/Agradecimento"
"Consigo parcelar no cartão?","Solicitar Informações Adicionais Relevantes para a Compra (Produtos)"
"Dá pra financiar direto com vocês?","Solicitar Informações Adicionais Relevantes para a Compra (Imóveis)"
"Esse imóvel ainda está disponível?","Perguntar sobre Disponibilidade/Estoque"
"Qual a forma de pagamento?","Solicitar Informações Adicionais Relevantes para a Compra (Produtos)"
"Você pode explicar melhor?","Pergunta Geral/Dúvida"
"Quero saber mais sobre esse produto.","Querer Comprar/Adquirir"
"Olá! Preciso de uma informação.","Pergunta Geral/Dúvida"
"Esse valor é negociável?","Perguntar sobre Preço/Custo"
"Estou de olho nesse imóvel.","Querer Comprar/Adquirir"
